Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
BT13 2SP,Yes,54.596662,-5.956258,144549,529583,NW445295,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",1985-04-01,,"","",12,8,"","","Clonard 2","",,23,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001116,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2WV+MF
BT13 2SW,Yes,54.599341,-5.952131,144832,529866,NW448298,"","Belfast","Falls",N09000003,N08000324,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",45,21,"","","Clonard 2","",,20,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XX+P4
BT13 2SY,Yes,54.599705,-5.95397,144716,529913,NW447299,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",44,22,"","","Clonard 2","",,22,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XW+VC
BT13 2SZ,Yes,54.599591,-5.953094,144771,529897,NW447298,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",29,12,"","","Clonard 2","",,21,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XW+RQ
BT13 2TE,Yes,54.598555,-5.956658,144535,529795,NW445297,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",1985-04-01,,"","",83,34,"","","Clonard 2","",,27,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XV+C8
BT13 2TF,Yes,54.597956,-5.956302,144554,529727,NW445297,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",1985-04-01,,"","",57,20,"","","Clonard 2","",,25,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XV+5F
BT13 2WA,No,54.597956,-5.956302,144554,529727,NW445297,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",2001-12-01,2007-07-01,"","",,,"","","Clonard 2","",,25,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,5,1,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XV+5F
BT13 2WL,No,54.597956,-5.956302,144554,529727,NW445297,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",2000-06-01,2001-03-01,"","",,,"","","Clonard 2","",,25,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,5,1,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XV+5F
BT13 2YA,No,54.597956,-5.956302,144554,529727,NW445297,"","Belfast","Clonard",N09000003,N08000318,Northern Ireland,N99999999,"Belfast West",2003-09-01,2006-05-01,"","",,,"","","Clonard 2","",,25,,95GG18S2,,N99999999,"(pseudo) Northern Ireland",,N00001113,N06000004,55,5,1,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PH2XV+5F
BT13 3AA,Yes,54.604669,-5.955857,144625,530472,NW446304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Crumlin 1 Belfast","",,35,,95GG19S1,,N99999999,"(pseudo) Northern Ireland",,N00001118,N06000002,24,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+VM
BT13 3AB,Yes,54.604381,-5.956336,144592,530441,NW445304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",,,"","","Shankill 1","",,34,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+QF
BT13 3AD,Yes,54.605362,-5.959088,144421,530560,NW444305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",,,"","","Shankill 1","",,34,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24R+49
BT13 3AE,Yes,54.605762,-5.959919,144370,530608,NW443306,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Woodvale 1","",,35,,95GG51S1,,N99999999,"(pseudo) Northern Ireland",,N00001623,N06000002,8,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24R+82
BT13 3AF,Yes,54.604917,-5.957237,144537,530504,NW445305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Crumlin 1 Belfast","",,34,,95GG19S1,,N99999999,"(pseudo) Northern Ireland",,N00001122,N06000002,24,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23V+X4
